"","date","time","county_name","county_outages","county_total","state_outages","state_perc"
"301","10/22/2018","6:00","LAFAYETTE","0","4192","76683","0.72"
"302","10/22/2018","6:00","LAKE","0","180116","76683","0.72"
"303","10/22/2018","6:00","LEE","0","445581","76683","0.72"
"304","10/22/2018","6:00","LEON","78","149600","76683","0.72"
"305","10/22/2018","6:00","LEVY","0","25132","76683","0.72"
"306","10/22/2018","6:00","LIBERTY","971","4081","76683","0.72"
"307","10/22/2018","6:00","MADISON","0","11037","76683","0.72"
"308","10/22/2018","6:00","MANATEE","0","214713","76683","0.72"
"309","10/22/2018","6:00","MARION","0","190998","76683","0.72"
"310","10/22/2018","6:00","MARTIN","0","94739","76683","0.72"
"311","10/22/2018","6:00","MIAMI-DADE","0","1161492","76683","0.72"
"312","10/22/2018","6:00","MONROE","0","62035","76683","0.72"
"313","10/22/2018","6:00","NASSAU","0","45678","76683","0.72"
"314","10/22/2018","6:00","OKALOOSA","0","109967","76683","0.72"
"315","10/22/2018","6:00","OKEECHOBEE","0","22420","76683","0.72"
"316","10/22/2018","6:00","ORANGE","0","582021","76683","0.72"
"317","10/22/2018","6:00","OSCEOLA","0","153219","76683","0.72"
"318","10/22/2018","6:00","PALM","0","777888","76683","0.72"
"319","10/22/2018","6:00","PASCO","0","270524","76683","0.72"
"320","10/22/2018","6:00","PINELLAS","0","537090","76683","0.72"
"321","10/22/2018","6:00","POLK","0","332026","76683","0.72"
"322","10/22/2018","6:00","PUTNAM","0","41195","76683","0.72"
"323","10/22/2018","6:00","SANTA","0","80308","76683","0.72"
"324","10/22/2018","6:00","SARASOTA","0","270195","76683","0.72"
"325","10/22/2018","6:00","SEMINOLE","0","209801","76683","0.72"
"326","10/22/2018","6:00","ST.","0","134966","76683","0.72"
"327","10/22/2018","6:00","ST.","0","156999","76683","0.72"
"328","10/22/2018","6:00","SUMTER","0","75106","76683","0.72"
"329","10/22/2018","6:00","SUWANNEE","0","22612","76683","0.72"
"330","10/22/2018","6:00","TAYLOR","0","13343","76683","0.72"
"331","10/22/2018","6:00","UNION","0","5383","76683","0.72"
"332","10/22/2018","6:00","VOLUSIA","0","289325","76683","0.72"
"333","10/22/2018","6:00","WAKULLA","3","15915","76683","0.72"
"334","10/22/2018","6:00","WALTON","0","60490","76683","0.72"
"335","10/22/2018","6:00","WASHINGTON","1903","13211","76683","0.72"
"336","10/22/2018","9:00","ALACHUA","0","130145","70508","0.67"
"337","10/22/2018","9:00","BAKER","0","11589","70508","0.67"
"338","10/22/2018","9:00","BAY","38525","117625","70508","0.67"
"339","10/22/2018","9:00","BRADFORD","0","12592","70508","0.67"
"340","10/22/2018","9:00","BREVARD","0","312898","70508","0.67"
"341","10/22/2018","9:00","BROWARD","0","939531","70508","0.67"
"342","10/22/2018","9:00","CALHOUN","5440","6937","70508","0.67"
"343","10/22/2018","9:00","CHARLOTTE","0","117437","70508","0.67"
"344","10/22/2018","9:00","CITRUS","0","88238","70508","0.67"
"345","10/22/2018","9:00","CLAY","0","94266","70508","0.67"
"346","10/22/2018","9:00","COLLIER","0","250710","70508","0.67"
"347","10/22/2018","9:00","COLUMBIA","0","33514","70508","0.67"
"348","10/22/2018","9:00","DESOTO","0","17827","70508","0.67"
"349","10/22/2018","9:00","DIXIE","0","10113","70508","0.67"
"350","10/22/2018","9:00","DUVAL","0","449806","70508","0.67"
"351","10/22/2018","9:00","ESCAMBIA","0","156436","70508","0.67"
"352","10/22/2018","9:00","FLAGLER","0","59627","70508","0.67"
"353","10/22/2018","9:00","FRANKLIN","0","10642","70508","0.67"
"354","10/22/2018","9:00","GADSDEN","3530","22425","70508","0.67"
"355","10/22/2018","9:00","GILCHRIST","0","9109","70508","0.67"
"356","10/22/2018","9:00","GLADES","0","7435","70508","0.67"
"357","10/22/2018","9:00","GULF","3062","11026","70508","0.67"
"358","10/22/2018","9:00","HAMILTON","0","6807","70508","0.67"
"359","10/22/2018","9:00","HARDEE","0","12375","70508","0.67"
"360","10/22/2018","9:00","HENDRY","0","18586","70508","0.67"
"361","10/22/2018","9:00","HERNANDO","0","95043","70508","0.67"
"362","10/22/2018","9:00","HIGHLANDS","0","62344","70508","0.67"
"363","10/22/2018","9:00","HILLSBOROUGH","0","634262","70508","0.67"
"364","10/22/2018","9:00","HOLMES","0","10347","70508","0.67"
"365","10/22/2018","9:00","INDIAN","0","93042","70508","0.67"
"366","10/22/2018","9:00","JACKSON","17085","24048","70508","0.67"
"367","10/22/2018","9:00","JEFFERSON","0","8376","70508","0.67"
"368","10/22/2018","9:00","LAFAYETTE","0","4192","70508","0.67"
"369","10/22/2018","9:00","LAKE","0","180116","70508","0.67"
"370","10/22/2018","9:00","LEE","0","445581","70508","0.67"
"371","10/22/2018","9:00","LEON","78","149600","70508","0.67"
"372","10/22/2018","9:00","LEVY","0","25132","70508","0.67"
"373","10/22/2018","9:00","LIBERTY","950","4081","70508","0.67"
"374","10/22/2018","9:00","MADISON","0","11037","70508","0.67"
"375","10/22/2018","9:00","MANATEE","0","214713","70508","0.67"
"376","10/22/2018","9:00","MARION","0","190998","70508","0.67"
"377","10/22/2018","9:00","MARTIN","0","94739","70508","0.67"
"378","10/22/2018","9:00","MIAMI-DADE","0","1161492","70508","0.67"
"379","10/22/2018","9:00","MONROE","0","62035","70508","0.67"
"380","10/22/2018","9:00","NASSAU","0","45678","70508","0.67"
"381","10/22/2018","9:00","OKALOOSA","0","109967","70508","0.67"
"382","10/22/2018","9:00","OKEECHOBEE","0","22420","70508","0.67"
"383","10/22/2018","9:00","ORANGE","0","582021","70508","0.67"
"384","10/22/2018","9:00","OSCEOLA","0","153219","70508","0.67"
"385","10/22/2018","9:00","PALM","0","777888","70508","0.67"
"386","10/22/2018","9:00","PASCO","0","270524","70508","0.67"
"387","10/22/2018","9:00","PINELLAS","0","537090","70508","0.67"
"388","10/22/2018","9:00","POLK","0","332026","70508","0.67"
"389","10/22/2018","9:00","PUTNAM","0","41195","70508","0.67"
"390","10/22/2018","9:00","SANTA","0","80308","70508","0.67"
"391","10/22/2018","9:00","SARASOTA","0","270195","70508","0.67"
"392","10/22/2018","9:00","SEMINOLE","0","209801","70508","0.67"
"393","10/22/2018","9:00","ST.","0","134966","70508","0.67"
"394","10/22/2018","9:00","ST.","0","156999","70508","0.67"
"395","10/22/2018","9:00","SUMTER","0","75106","70508","0.67"
"396","10/22/2018","9:00","SUWANNEE","0","22612","70508","0.67"
"397","10/22/2018","9:00","TAYLOR","0","13343","70508","0.67"
"398","10/22/2018","9:00","UNION","0","5383","70508","0.67"
"399","10/22/2018","9:00","VOLUSIA","0","289325","70508","0.67"
"400","10/22/2018","9:00","WAKULLA","3","15915","70508","0.67"
"401","10/22/2018","9:00","WALTON","0","60490","70508","0.67"
"402","10/22/2018","9:00","WASHINGTON","1835","13211","70508","0.67"
"403","10/22/2018","12:00","ALACHUA","0","130145","69526","0.66"
"404","10/22/2018","12:00","BAKER","0","11589","69526","0.66"
"405","10/22/2018","12:00","BAY","38525","117625","69526","0.66"
"406","10/22/2018","12:00","BRADFORD","0","12592","69526","0.66"
"407","10/22/2018","12:00","BREVARD","0","312898","69526","0.66"
"408","10/22/2018","12:00","BROWARD","0","939531","69526","0.66"
"409","10/22/2018","12:00","CALHOUN","5415","6937","69526","0.66"
"410","10/22/2018","12:00","CHARLOTTE","0","117437","69526","0.66"
"411","10/22/2018","12:00","CITRUS","0","88238","69526","0.66"
"412","10/22/2018","12:00","CLAY","0","94266","69526","0.66"
"413","10/22/2018","12:00","COLLIER","0","250710","69526","0.66"
"414","10/22/2018","12:00","COLUMBIA","0","33514","69526","0.66"
